number,group,image,audio,passage,question_text,o1,o2,o3,o4,correct,img_url,audio_url
181,part_7_181_185,part_7_181_185_1.png part_7_181_185_2.png,,"<div class=""alert alert-warning"">
<p>
<img height=""494"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image11.png"" width=""960""/>
</p>
<p>
<img height=""647"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image12.png"" width=""770""/>
</p>
</div>","What was the topic of the conference on January
                            10?",How to start a small business,How to manage finances,How to lead other people,How to expand business globally,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_181_185_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_181_185_2.png,
182,part_7_181_185,,,"<div class=""alert alert-warning"">
<p>
<img height=""494"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image11.png"" width=""960""/>
</p>
<p>
<img height=""647"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image12.png"" width=""770""/>
</p>
</div>","When most likely will inquiries start being
                            made?",At 3:30 PM,At 4:30 PM,At 5:30 PM,At 6:30 PM,D,,
183,part_7_181_185,,,"<div class=""alert alert-warning"">
<p>
<img height=""494"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image11.png"" width=""960""/>
</p>
<p>
<img height=""647"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image12.png"" width=""770""/>
</p>
</div>",Where will a talk be given at no charge?,At Mulligan Elementary School,At Brookstone University,At Piedmont Adult Education Center,At SEM Development Group,B,,
184,part_7_181_185,,,"<div class=""alert alert-warning"">
<p>
<img height=""494"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image11.png"" width=""960""/>
</p>
<p>
<img height=""647"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image12.png"" width=""770""/>
</p>
</div>","What does Ms. O’Neill invite AFC members to
                            do?",Attach a receipt,Fill out a survey,Prepare a presentation,Evaluate speakers,C,,
185,part_7_181_185,,,"<div class=""alert alert-warning"">
<p>
<img height=""494"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image11.png"" width=""960""/>
</p>
<p>
<img height=""647"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image12.png"" width=""770""/>
</p>
</div>","What is mentioned about the upcoming
                            conference?",It will be held at a new location.,Its presentations will start later in the day.,Its attendance fees will be increased.,It will be broadcast online.,D,,
186,part_7_186_190,part_7_186_190_1.png part_7_186_190_2.png part_7_186_190_3.png,,"<div class=""alert alert-warning"">
<p>
<img height=""629"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image13.png"" width=""960""/>
</p>
<p>
<img height=""606"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image15.png"" width=""960""/>
</p>
<p>
<img height=""640"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image16.png"" width=""960""/>
</p>
</div>","What is the purpose of the web page
                            information?",To announce a new company policy,To explain an upcoming relocation,To inform a user about a charge,To notify a user of phishing attempts,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_186_190_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_186_190_2.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_186_190_3.png,
187,part_7_186_190,,,"<div class=""alert alert-warning"">
<p>
<img height=""629"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image13.png"" width=""960""/>
</p>
<p>
<img height=""606"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image15.png"" width=""960""/>
</p>
<p>
<img height=""640"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image16.png"" width=""960""/>
</p>
</div>","What is NOT mentioned as being checked using the
                            mobile banking service?",Account balances,Interest rates,Unresolved transactions,Account history,B,,
188,part_7_186_190,,,"<div class=""alert alert-warning"">
<p>
<img height=""629"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image13.png"" width=""960""/>
</p>
<p>
<img height=""606"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image15.png"" width=""960""/>
</p>
<p>
<img height=""640"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image16.png"" width=""960""/>
</p>
</div>",What request does Ms. Summers make?,That her accounts be frozen,That her contact information be updated,That her extra fee be waived,That her withdrawal limit be increased,C,,
189,part_7_186_190,,,"<div class=""alert alert-warning"">
<p>
<img height=""629"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image13.png"" width=""960""/>
</p>
<p>
<img height=""606"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image15.png"" width=""960""/>
</p>
<p>
<img height=""640"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image16.png"" width=""960""/>
</p>
</div>","In the customer service’s e-mail to Suzie Summers,
                            what does Laura Massey think is odd about Suzie’s
                            story?",Suzie didn’t have very much money in her account.,Suzie didn’t file a  police report.,Suzie lost her wallet on June 2 but her card was used at an ATM machine on June 3.,Suzie does not live in Florida.,C,,
190,part_7_186_190,,,"<div class=""alert alert-warning"">
<p>
<img height=""629"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image13.png"" width=""960""/>
</p>
<p>
<img height=""606"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image15.png"" width=""960""/>
</p>
<p>
<img height=""640"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image16.png"" width=""960""/>
</p>
</div>","What does Laura Massey instruct Suzie Summers to do
                            if she wants to get relief from the overdraft
                            fee?",Write to the fraud department of Stark Bank,File a police report and give the case number to Stark Bank,File a claim against the criminals in the court and give the court number to Stark Bank,File a case number with the fraud department of Stark Bank,B,,
191,part_7_191_195,part_7_191_195_1.png part_7_191_195_2.png part_7_191_195_3.png,,"<div class=""alert alert-warning"">
<p>
<img height=""669"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image17.png"" width=""874""/>
</p>
<p>
<img height=""549"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image18.png"" width=""965""/>
</p>
<p>
<img height=""498"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image19.png"" width=""960""/>
</p>
</div>",What is one reason the first e-mail was sent?,To specify a warranty number,To ask for a date for a visit,To confirm an order,To apologize for a shipping delay,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_191_195_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_191_195_2.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_191_195_3.png,
192,part_7_191_195,,,"<div class=""alert alert-warning"">
<p>
<img height=""669"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image17.png"" width=""874""/>
</p>
<p>
<img height=""549"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image18.png"" width=""965""/>
</p>
<p>
<img height=""498"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image19.png"" width=""960""/>
</p>
</div>","According to the first e-mail, what is true about
                            the refrigerator?",It is a newly released model.,It is no longer covered by the warranty.,It has a manufacturing defect,It is currently on sale,C,,
193,part_7_191_195,,,"<div class=""alert alert-warning"">
<p>
<img height=""669"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image17.png"" width=""874""/>
</p>
<p>
<img height=""549"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image18.png"" width=""965""/>
</p>
<p>
<img height=""498"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image19.png"" width=""960""/>
</p>
</div>","What information does Mr. Lewis request from Ms.
                            Kerry?",Her current address,Her warranty number,Her refrigerator model,Her contact information,B,,
194,part_7_191_195,,,"<div class=""alert alert-warning"">
<p>
<img height=""669"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image17.png"" width=""874""/>
</p>
<p>
<img height=""549"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image18.png"" width=""965""/>
</p>
<p>
<img height=""498"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image19.png"" width=""960""/>
</p>
</div>","Why does the technician need to scan the
                            warranty?",To make sure it is still covered,To make sure that the model is correct,To make sure that there are enough spare parts to make the repairs,To make sure that the manufacturer covers the repair costs,D,,
195,part_7_191_195,,,"<div class=""alert alert-warning"">
<p>
<img height=""669"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image17.png"" width=""874""/>
</p>
<p>
<img height=""549"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image18.png"" width=""965""/>
</p>
<p>
<img height=""498"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image19.png"" width=""960""/>
</p>
</div>","Why do you think the technician will come on
                            Monday?",Because that is the time the technician is available,Because the technician is too busy on Friday,Because the housekeeper will be there to let him in,Because Ms. Kerry is in Arkansas,C,,
196,part_7_196_200,part_7_196_200_1.png part_7_196_200_2.png part_7_196_200_3.png,,"<div class=""alert alert-warning"">
<p>
<img height=""697"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image20.png"" width=""960""/>
</p>
<p>
<img height=""574"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image21.png"" width=""947""/>
</p>
<p>
<img height=""463"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image22.png"" width=""960""/>
</p>
</div>",Why did Mr. West write the first e-mail?,To inquire about a service,To schedule a meeting,To report on a budget,To apply for a position,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_196_200_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_196_200_2.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_7_196_200_3.png,
197,part_7_196_200,,,"<div class=""alert alert-warning"">
<p>
<img height=""697"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image20.png"" width=""960""/>
</p>
<p>
<img height=""574"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image21.png"" width=""947""/>
</p>
<p>
<img height=""463"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image22.png"" width=""960""/>
</p>
</div>",What service does JM Solutions provide?,Recruitment and employee training,Graphic design,Web programming,Marketing strategy consultation,C,,
198,part_7_196_200,,,"<div class=""alert alert-warning"">
<p>
<img height=""697"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image20.png"" width=""960""/>
</p>
<p>
<img height=""574"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image21.png"" width=""947""/>
</p>
<p>
<img height=""463"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image22.png"" width=""960""/>
</p>
</div>","According to the second e-mail, how will the
                            profits of the back-to-school sale be spent?",On repairing some roads,On purchasing advertising space,On paying for JM Solutions’ service,On hiring more employees,B,,
199,part_7_196_200,,,"<div class=""alert alert-warning"">
<p>
<img height=""697"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image20.png"" width=""960""/>
</p>
<p>
<img height=""574"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image21.png"" width=""947""/>
</p>
<p>
<img height=""463"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image22.png"" width=""960""/>
</p>
</div>",What is indicated by the third e-mail?,The budget for the first quarter of next year looks good.,JM Solutions has a strong reputation.,It will be easy for Kingston Sporting Goods to find money in their budget for web development.,Some items in the budget may lose their funding in order to pay for web development.,D,,
200,part_7_196_200,,,"<div class=""alert alert-warning"">
<p>
<img height=""697"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image20.png"" width=""960""/>
</p>
<p>
<img height=""574"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image21.png"" width=""947""/>
</p>
<p>
<img height=""463"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/26/image22.png"" width=""960""/>
</p>
</div>","Why does Kingston Sporting Goods need to allow for
                            $3,200 for web development?",They need the best web money can buy,They have to expand their business into other territories.,They have to pay JM Solutions 10% of the overall cost as a deposit.,They have to negotiate a better price after the deposit.,C,,
